y1,x1,wave_ht,tuning_factor
500,500,2.1,0.0139413
500,500,2.8,0.0131234
500,500,2.8,0.0240715
500,500,2.9,0.0302872
500,500,2.6,0.0326491
500,500,3.2,0.0322059
500,500,3,0.0340874
500,500,2.6,0.0388753
500,500,3.1,0.0373526
500,500,2.7,0.0383584
500,500,2.9,0.0345716
500,500,2.9,0.0293664
500,500,2.8,0.0305745
500,500,2.7,0.0284738
500,500,2.9,0.0220815
500,500,3,0.0166817
500,500,3.1,0.0125224
500,500,2.6,0.021509
500,500,3,0.0395482
500,500,2.7,0.0396684
500,500,2.8,0.0383084
500,500,3,0.0364494
500,500,2.7,0.0399613
500,500,2.7,0.0353308
500,500,2.8,0.0310841
500,500,2.4,0.034487
500,500,2.5,0.0378387
500,500,2.6,0.039569
500,500,2.4,0.0350017
500,500,2.5,0.0319029
500,500,2.6,0.0429431
500,500,2.7,0.0412926
500,500,2.2,0.0352962
500,500,2.7,0.0376611
500,500,2.6,0.0364133
500,500,2.5,0.0297717
500,500,2.7,0.029428
500,500,2.7,0.0197938
500,500,2.6,0.0173316
500,500,2.8,0.0132113
500,500,2.4,0.0189083
500,500,2.6,0.0220052
500,500,2.6,0.0243687
500,500,2.5,0.0309726
500,500,2.6,0.0365217
500,500,2.3,0.0434585
500,500,2.8,0.0412891
500,500,3,0.0416587
500,500,2.5,0.0420901
500,500,2.8,0.0408456
500,500,2.8,0.0422497
500,500,2.9,0.0428461
500,500,2.9,0.041286
500,500,2.7,0.0413849
500,500,3.4,0.0382624
500,500,3.7,0.0346211
500,500,3.4,0.0360335
500,500,3.6,0.0333596
500,500,3.5,0.0371844
500,500,3.8,0.0346361
500,500,2.8,0.0422267
500,500,4,0.028399
500,500,4,0.0229577
500,500,3.6,0.0183536
500,500,4.3,0.0135452
500,500,3.6,0.0141054
500,500,3.5,0.0159699
500,500,4.3,0.0162189
500,500,3.2,0.0237962
500,500,3.4,0.0212807
500,500,4.9,0.0167699
500,500,3.1,0.0294523
500,500,3.3,0.0279836
500,500,3.9,0.0253384
500,500,3.3,0.0294341
500,500,3.9,0.028046
500,500,3.2,0.0398359
500,500,3.4,0.0397601
500,500,3.6,0.0347724
500,500,3.7,0.0339084
500,500,4,0.0319131
500,500,3.7,0.0311501
500,500,3.5,0.0289979
500,500,3.8,0.0275967
500,500,4.6,0.0250857
500,500,3.5,0.0291873
500,500,4.1,0.0256412
500,500,5.3,0.0236849
500,500,4.6,0.0290275
500,500,6,0.0198977
500,500,4,0.030816
500,500,3.9,0.0276864
500,500,5.8,0.0200799
500,500,5,0.0264627
500,500,2.7,0.0139778
500,500,2.9,0.0138617
500,500,2.9,0.0179868
500,500,2.9,0.0237521
500,500,4,0.0191997
500,500,3.3,0.0239204
500,500,2.5,0.0273477
500,500,3.3,0.0222717
500,500,3.1,0.0216191
500,500,3.6,0.0199828
500,500,2.9,0.0219658
500,500,2.9,0.0155762
500,500,3.2,0.0144518
500,500,2.8,0.0179805
500,500,3.6,0.0167656
500,500,2.5,0.0236874
500,500,2.4,0.0300184
500,500,2.5,0.0339919
500,500,2.1,0.0347271
500,500,3.5,0.0361245
500,500,2.8,0.0401105
500,500,2.6,0.0425101
500,500,2.7,0.0393621
500,500,2.5,0.0409878
500,500,2.8,0.0421087
500,500,2.4,0.0455396
500,500,1.7,0.0471269
500,500,1.8,0.048689
500,500,1.8,0.0503786
500,500,1.9,0.048096
500,500,2,0.0452607
500,500,2.3,0.0399532
500,500,1.8,0.0457297
500,500,1.8,0.0446352
500,500,2.1,0.0434581
500,500,2,0.0466537
500,500,2.1,0.0433385
500,500,2,0.0372742
500,500,2.3,0.0399109
500,500,2.2,0.0401137
500,500,2.2,0.0423153
500,500,2,0.0428955
500,500,2,0.0439643
500,500,2,0.039335
500,500,2.1,0.0351332
500,500,2.1,0.0299553
500,500,2.1,0.0276155
500,500,2.3,0.0241242
500,500,2.4,0.0224058
500,500,1.9,0.0304491
500,500,2.4,0.0340359
500,500,2.3,0.0348767
500,500,2.2,0.0299388
500,500,2.6,0.0339412
500,500,2.1,0.0400287
500,500,2.7,0.0421194
500,500,2.9,0.0405106
500,500,3,0.0404959
500,500,3.4,0.0376535
500,500,2.8,0.0381131
500,500,3.5,0.0315608
500,500,3.2,0.0286587
500,500,3.3,0.0301024
500,500,2.8,0.0324819
500,500,3.1,0.0262531
500,500,3.5,0.0200644
500,500,3.1,0.0223817
500,500,3.4,0.0249995
500,500,3.7,0.0227981
500,500,3,0.0322362
500,500,3.7,0.0224947
500,500,4.2,0.0184066
500,500,3.3,0.0252971
500,500,4.2,0.0254018
500,500,3,0.0363387
500,500,4.1,0.0299729
500,500,2.4,0.0442048
500,500,2.5,0.0378881
500,500,2.4,0.0157222
500,500,2.3,0.0196544
500,500,2.3,0.0236927
500,500,2.2,0.0248339
500,500,2.6,0.0253142
500,500,2.3,0.0293858
500,500,2.5,0.0299264
500,500,2.5,0.0304562
500,500,2.1,0.0373758
500,500,2.5,0.0378219
500,500,2.7,0.04089
500,500,2.5,0.0338909
500,500,2.3,0.0329284
500,500,2.4,0.0160502
500,500,2.6,0.0283719
500,500,2.5,0.0299702
500,500,2.5,0.0294793
500,500,2.5,0.0259206
500,500,2.5,0.0237499
500,500,2.2,0.0215385
500,500,2.4,0.0184461
500,500,2.2,0.0188344
500,500,2,0.0157564
500,500,2,0.0145985
500,500,2.2,0.0145156
500,500,2.2,0.0151732
500,500,2.2,0.0144933
500,500,1.9,0.0150042
500,500,2.1,0.0175635
500,500,2,0.0199513
500,500,2.1,0.0208598
500,500,2.2,0.0188102
500,500,2.2,0.0179577
500,500,1.9,0.0188316
500,500,2.1,0.0228099
500,500,2.2,0.0224775
500,500,2.3,0.019956
500,500,2.4,0.0186208
500,500,2.1,0.0160506
500,500,2,0.0161055
500,500,2,0.0173218
500,500,1.9,0.0188898
500,500,1.7,0.025065
500,500,1.7,0.0256996
500,500,1.8,0.025679
500,500,1.9,0.0205633
500,500,1.9,0.0186547
500,500,1.8,0.0217919
500,500,2.2,0.022078
500,500,1.9,0.0184176
500,500,2.1,0.0166078
500,500,1.9,0.0177468
500,500,2.1,0.0173443
500,500,2,0.0169952
500,500,2.1,0.0177941
500,500,2.1,0.0187105
500,500,2.1,0.0197112
500,500,2.3,0.0199843
500,500,2.7,0.0186548
500,500,2.5,0.0168031
500,500,2.8,0.0137556
500,500,2.9,0.0125998
500,500,3.4,0.0134686
500,500,2.5,0.0194094
500,500,3,0.021929
500,500,3.3,0.0261409
500,500,4.2,0.0208695
500,500,3.7,0.0249817
500,500,3.2,0.0288005
500,500,3.7,0.0290926
500,500,2.7,0.0311156
500,500,3.1,0.026631
500,500,3.9,0.0200166
500,500,3.2,0.0224202
500,500,3,0.0221762
500,500,2.8,0.0207498
500,500,3.5,0.0118133
500,500,3,0.0123614
500,500,3.4,0.0161713
500,500,3.1,0.0227312
500,500,3.3,0.0254623
500,500,3.2,0.0251114
500,500,3.2,0.0311109
500,500,3,0.0353849
500,500,3.1,0.0346409
500,500,2.8,0.0395872
500,500,2.7,0.0420906
500,500,3.4,0.0393081
500,500,3.1,0.0392982
500,500,2.9,0.0291871
500,500,3.3,0.0266411
500,500,2.7,0.0259426
500,500,3,0.0184901
500,500,2.6,0.0210109
500,500,2.1,0.0196662
500,500,2.8,0.0179141
500,500,2.6,0.0188435
500,500,2.4,0.0258062
500,500,3,0.0248406
500,500,2.6,0.0250595
500,500,2.5,0.0301216
500,500,2.7,0.036466
500,500,2.4,0.0339941
500,500,2.6,0.0375341
500,500,2,0.0409216
500,500,2.7,0.0405504
500,500,2.3,0.0403575
500,500,2.2,0.0352731
500,500,2.4,0.0347893
500,500,2.1,0.0308408
500,500,1.9,0.0377869
500,500,2,0.0315315
500,500,2.6,0.0361175
500,500,2.3,0.0352738
500,500,2.8,0.0325179
500,500,1.9,0.0442893
500,500,2.1,0.0420171
500,500,2.3,0.0436149
500,500,2.4,0.0424596
500,500,2.2,0.0428624
500,500,2.6,0.0436715
500,500,2,0.0380753
500,500,2.3,0.0367244
500,500,2.4,0.0370341
500,500,2.4,0.037419
500,500,2.2,0.0284856
500,500,2.2,0.0267282
500,500,2.7,0.0251027
500,500,2.5,0.03421
500,500,2.6,0.0366196
500,500,3.2,0.0314017
500,500,2.6,0.0285245
500,500,2.4,0.0285086
500,500,3.3,0.0206606
