Timestamp(UTC), Latitude, Longitude, Wave Height(meters), Wave Direction(degrees T), Average Wave Period(seconds), Dominant Wave Period(seconds)
2011-11-19 18:30:00, 36.9800, -122.6515,  5.4,  36, 11.0, 21.3
2011-11-19 19:00:00, 36.9788, -122.6416,  4.3,  50,  9.1, 14.2
2011-11-19 20:30:00, 36.9861, -122.6065,  5.0,  70, 10.1, 12.8
2011-11-19 22:30:00, 36.9963, -122.5584,  3.6,  11, 10.2, 11.6
2011-11-21 05:30:00, 36.7662, -122.3245,  3.6, 317,  7.7, 25.6
2011-11-21 07:00:00, 36.7663, -122.3244,  3.4,  54, 10.8, 10.7
2011-11-21 07:30:00, 36.7747, -122.3266,  3.4,  53,  8.4, 11.6
2011-11-21 08:00:00, 36.7802, -122.3240,  2.9,  51,  7.8,  9.8
2011-11-21 08:30:00, 36.7832, -122.3211,  3.3,  62,  8.6, 25.6
2011-11-21 10:00:00, 36.7821, -122.3128,  3.0,  85,  8.9, 14.2
2011-11-22 00:30:00, 36.8116, -122.2911,  2.5,  54,  9.3, 14.2
2011-11-22 01:00:00, 36.8115, -122.2910,  2.0,  44,  7.9,  9.1
2011-11-22 01:30:00, 36.8115, -122.2907,  2.0,  61,  8.1,  9.8
2011-11-22 02:00:00, 36.8132, -122.2904,  2.3,  23,  7.9, 11.6
2011-11-22 02:30:00, 36.8148, -122.2902,  2.4,  57,  8.1, 10.7
2011-11-22 03:00:00, 36.8158, -122.2895,  2.2,  60,  7.6,  8.5
2011-11-22 03:30:00, 36.8165, -122.2884,  2.1,  67,  8.5, 10.7
2011-11-22 04:00:00, 36.8171, -122.2869,  1.8,  47,  6.7, 11.6
2011-11-22 04:30:00, 36.8174, -122.2853,  1.5,  73,  6.7, 11.6
2011-11-22 05:00:00, 36.8180, -122.2839,  1.8,  60,  7.9, 10.7
2011-11-22 05:30:00, 36.8189, -122.2831,  1.9,  90,  8.3, 10.7
2011-11-22 06:00:00, 36.8206, -122.2813,  1.6,  48,  7.6, 10.7
2011-11-22 06:30:00, 36.8213, -122.2801,  1.9,  62,  9.4,  9.8
2011-11-22 07:00:00, 36.8212, -122.2789,  2.0,  82,  7.0,  9.1
2011-11-22 07:30:00, 36.8210, -122.2763,  2.2,  83,  8.9, 12.8
2011-11-22 08:00:00, 36.8209, -122.2725,  1.4,  50,  5.9,  8.0
2011-11-22 08:30:00, 36.8206, -122.2682,  1.6,  69,  7.1,  8.0
2011-11-22 09:00:00, 36.8203, -122.2637,  1.8,  71,  7.1, 11.6
2011-11-22 09:30:00, 36.8200, -122.2588,  1.6,  29,  7.6, 10.7
2011-11-22 10:00:00, 36.8197, -122.2544,  1.4,  49,  6.5, 11.6
2011-11-22 10:30:00, 36.8195, -122.2502,  1.5,  58,  7.7,  9.8
2011-11-22 11:00:00, 36.8194, -122.2468,  1.7,  75,  8.5, 18.3
2011-11-22 11:30:00, 36.8192, -122.2453,  1.6,  42,  8.6,  9.8
2011-11-22 12:00:00, 36.8192, -122.2449,  1.6,  84,  9.1, 21.3
2011-11-22 12:30:00, 36.8192, -122.2445,  1.4,  68,  6.8,  9.8
2011-11-22 22:00:00, 36.8190, -122.1920,  1.6,  76,  8.5, 12.8
2011-11-22 22:30:00, 36.8177, -122.1858,  1.3,  70,  7.1,  8.5
2011-11-22 23:00:00, 36.8153, -122.1808,  1.2,  55,  7.6, 10.7
2011-11-22 23:30:00, 36.8135, -122.1741,  1.2,  67,  7.6, 11.6
2011-11-23 00:00:00, 36.8115, -122.1662,  1.5,  57,  7.5,  9.1
2011-11-23 00:30:00, 36.8127, -122.1589,  1.4,  70,  8.1,  9.1
2011-11-23 01:00:00, 36.8115, -122.1536,  1.4,  73,  8.7,  9.1
2011-11-23 01:30:00, 36.8095, -122.1588,  1.5,  75,  7.2,  9.1
2011-11-23 02:00:00, 36.8133, -122.1556,  1.4,  75,  6.7,  9.1
2011-11-23 02:30:00, 36.8090, -122.1574,  1.6,  77,  8.1,  9.8
2011-11-23 03:00:00, 36.8136, -122.1561,  1.5, 114,  7.0,  9.1
2011-11-23 03:30:00, 36.8104, -122.1541,  1.3, 138,  6.3,  9.1
2011-11-23 04:00:00, 36.8081, -122.1487,  1.6,  71,  8.3,  9.8
2011-11-23 04:30:00, 36.8054, -122.1392,  1.5,  55,  7.4,  9.1
2011-11-23 05:00:00, 36.8023, -122.1292,  1.7,  74,  7.3,  8.5
2011-11-23 05:30:00, 36.7992, -122.1193,  1.6,  65,  7.4, 14.2
2011-11-23 08:00:00, 36.7942, -122.0991,  2.0,  63,  7.3, 10.7
2011-11-23 08:30:00, 36.7998, -122.1158,  2.6,  46,  8.7, 25.6
2011-11-23 09:00:00, 36.8055, -122.1326,  2.4,  64,  8.1,  8.0
2011-11-23 09:30:00, 36.8105, -122.1472,  2.1,  59,  9.0, 11.6
2011-11-23 10:00:00, 36.8152, -122.1614,  2.1,  82,  8.0, 12.8
2011-11-23 10:30:00, 36.8110, -122.1633,  2.1, 112,  7.6, 25.6
2011-11-29 10:30:00, 36.7749, -122.0861,  2.6,  59,  9.3, 18.3
2011-11-29 11:00:00, 36.7774, -122.0794,  2.6,  33,  8.7, 16.0
2011-11-29 18:30:00, 36.7777, -122.0943,  2.7,  72,  8.9, 12.8
2011-11-29 19:00:00, 36.7741, -122.0794,  2.6, 230,  7.8,  9.8
2011-12-02 12:30:00, 36.7793, -122.0847,  2.0, 155,  7.8, 25.6
2011-12-02 13:00:00, 36.7822, -122.0930,  2.1,  34,  8.7, 14.2
2011-12-02 13:30:00, 36.7847, -122.1003,  1.6,  54,  6.6,  9.8
2011-12-02 14:00:00, 36.7869, -122.1068,  2.3,  61,  9.7,  9.1
2011-12-02 14:30:00, 36.7884, -122.1114,  1.6,  62,  7.3,  9.8
2011-12-02 15:00:00, 36.7897, -122.1149,  1.8,  67,  8.3, 11.6
2011-12-02 15:30:00, 36.7907, -122.1182,  1.5,  45,  6.3,  9.1
2011-12-02 16:00:00, 36.7917, -122.1211,  1.9,  61,  7.4, 11.6
2011-12-02 16:30:00, 36.7925, -122.1233,  1.4,  84,  7.4,  9.8
2011-12-02 17:00:00, 36.7931, -122.1250,  1.5,  60,  8.3,  9.8
2011-12-02 17:30:00, 36.7937, -122.1272,  1.2,  57,  7.4,  9.8
2011-12-02 18:00:00, 36.7946, -122.1295,  1.8,  49,  8.1, 10.7
2011-12-02 18:30:00, 36.7959, -122.1332,  1.6,  78,  7.7, 10.7
2011-12-02 19:00:00, 36.7976, -122.1380,  1.7,  48,  8.5,  9.8
2011-12-02 19:30:00, 36.7990, -122.1426,  2.0,  62,  9.5, 10.7
2011-12-02 20:00:00, 36.8008, -122.1478,  1.9,  49,  9.4, 10.7
2011-12-02 20:30:00, 36.8027, -122.1534,  1.9,  63,  7.8, 10.7
2011-12-02 21:00:00, 36.8046, -122.1587,  1.7, 100,  7.8, 16.0
2011-12-02 21:30:00, 36.8062, -122.1639,  1.9,  62,  7.8, 10.7
2011-12-02 22:00:00, 36.7984, -122.1540,  1.4,  55,  8.1,  9.1
