y1,x1,wave_ht,tuning_factor
28.1198,-145.613,3.45,0.109403
28.1163,-145.621,3.45,0.0808377
28.1093,-145.638,2.9,0.108067
28.1058,-145.646,3.5,0.0742317
28.1024,-145.654,3.55,0.147855
28.0993,-145.661,3.1,0.14478
28.0962,-145.668,2.9,0.0852573
28.0933,-145.675,3.15,0.0563857
28.0754,-145.718,3.2,0.0646201
28.0724,-145.725,3.25,0.0661643
28.0691,-145.732,3.2,0.0848608
28.0284,-145.812,3.1,0.0721724
28.0242,-145.82,3,0.0946009
28.0202,-145.828,2.85,0.0644768
28.0133,-145.841,2.35,0.0785583
28.0006,-145.865,2.7,0.0808467
27.9969,-145.871,2.8,0.0846728
27.9933,-145.879,2.55,0.0522079
27.9896,-145.886,2.6,0.0844935
27.9811,-145.901,2.5,0.104059
27.9333,-145.992,2,0.0874359
27.9248,-146.008,2.3,0.0846158
27.8604,-146.129,2.2,0.0846158
27.8568,-146.136,2.45,0.0802301
27.853,-146.143,2.6,0.0940977
27.8363,-146.175,2.5,0.0598826
27.8323,-146.182,2.85,0.059458
27.8285,-146.189,2.95,0.0631011
27.825,-146.196,2.85,0.0506322
27.8216,-146.202,3,0.0508688
27.8181,-146.209,2.7,0.0649546
27.8142,-146.216,2.5,0.0558931
27.8104,-146.223,2.85,0.0638353
27.8067,-146.231,3.15,0.104363
27.8027,-146.238,3.25,0.0978979
27.7988,-146.245,3.35,0.0651413
27.7951,-146.252,3.25,0.113567
27.7912,-146.259,3.15,0.0986282
27.7875,-146.266,2.85,0.0593244
27.7839,-146.273,3.5,0.0686665
27.7772,-146.285,3.6,0.0509015
27.774,-146.292,3.1,0.0519582
27.7706,-146.298,3.65,0.116703
27.7669,-146.305,4.15,0.0884267
27.763,-146.312,4.1,0.0643048
27.759,-146.32,3.65,0.105894
27.7553,-146.327,3.35,0.0657209
27.6929,-146.524,2.65,0.0564652
27.685,-146.546,3.05,0.0628013
27.6814,-146.553,2.7,0.0654231
27.6779,-146.559,2.65,0.0524106
27.5536,-146.788,1.9,0.0830378
27.5219,-146.846,1.9,0.0627431
27.5373,-146.864,2.35,0.0829438
27.5339,-146.871,2.35,0.0829438
27.5089,-146.941,3.55,0.13031
27.5146,-146.948,3.6,0.0831601
27.5192,-146.955,3.7,0.0624326
27.2901,-147.379,4.1,0.0830663
27.2767,-147.402,4.45,0.105137
27.2723,-147.41,4.35,0.180134
27.268,-147.418,4,0.0892384
27.2498,-147.45,3.8,0.13851
27.2455,-147.457,3.5,0.0813982
27.2415,-147.464,3.45,0.0519531
27.2377,-147.47,3.65,0.112187
27.2338,-147.478,3.8,0.0862951
27.2296,-147.485,3.75,0.0756448
27.2206,-147.501,3.5,0.0721005
27.2162,-147.508,3.85,0.0694671
27.1914,-147.553,3.65,0.0887803
27.1841,-147.565,3.65,0.0614301
27.0243,-147.753,4.1,0.102592
27.0204,-147.76,4.65,0.0676683
27.0169,-147.767,4.7,0.0679271
27.0131,-147.773,4.6,0.0856522
27.0094,-147.78,4.85,0.0752738
27.0053,-147.788,4.55,0.0769765
27.0013,-147.795,4.3,0.0652319
26.9976,-147.802,4.35,0.0834476
26.9937,-147.81,4.6,0.068066
26.9886,-147.819,4.8,0.086428
26.9842,-147.827,4.65,0.083397
26.9807,-147.834,5.05,0.0950625
26.9769,-147.841,5.95,0.147853
26.9726,-147.848,5.85,0.073117
26.9683,-147.856,6.15,0.0918826
26.9642,-147.864,5.75,0.0762146
26.9607,-147.87,4.95,0.079883
26.9072,-147.966,4,0.0639415
26.9038,-147.973,3.7,0.118466
26.9005,-147.979,3.9,0.04782
26.8939,-147.991,4.2,0.0707301
26.8749,-148.027,3.9,0.0567352
26.8713,-148.033,4.35,0.0834139
26.8168,-148.134,4.6,0.100439
26.8128,-148.142,5.1,0.0834796
26.7733,-148.199,4.45,0.116507
26.7809,-148.201,4.6,0.0836061
26.7774,-148.207,4.65,0.0732552
26.7737,-148.214,4.45,0.0639537
26.7323,-148.291,6.25,0.063844
26.7259,-148.302,6.75,0.0666997
26.7225,-148.309,6.35,0.0673671
26.7187,-148.316,6.5,0.139548
26.7148,-148.323,6.75,0.0711931
26.7111,-148.329,6.4,0.0668017
26.7077,-148.336,6.4,0.0608734
26.7041,-148.343,6.65,0.0862887
26.7004,-148.349,6.15,0.0981084
26.6777,-148.391,6.05,0.08338
26.6459,-148.45,5.2,0.0635392
26.6155,-148.506,5.95,0.07673
26.612,-148.512,5.9,0.0744545
26.6086,-148.519,6,0.0795097
26.6045,-148.526,5.6,0.0937508
26.6007,-148.533,5.7,0.0773628
26.5966,-148.541,6.25,0.0915651
26.5925,-148.548,5.9,0.0578073
26.5889,-148.555,6.05,0.0542191
26.5854,-148.562,6.25,0.0662276
